KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
1033,"GANSU PROVINCIAL HIGHWAY AVIATION TOURISM INVESTMENT GROUP CO., LTD.",甘肃公航旅,甘肃省公路航空旅游投资集团有限公司,24/3/2025,Existing
1032,"RUDONG COUNTY MINTAI URBAN AND RURAL CONSTRUCTION ENGINEERING CO., LTD",如东民泰,如东县民泰城乡建设工程有限公司,18/3/2025,Existing
1031,"BANK OF COMMUNICATIONS CO., LTD HONG KONG BRANCH",交通银行,交通银行股份有限公司,14/3/2025,Existing
1030,"ZHEJIANG TIANZIHU INDUSTRY INVESTMENT CO., LTD",浙江天子湖实业,浙江天子湖实业投资有限公司,8/3/2025,Existing
1029,BANK OF CHINA (HONG KONG) LIMITED,中银香港,中国银行(香港)有限公司,10/2/2025,Existing
1028,CHINA CINDA (2020) I MANAGEMENT LIMITED,信达香港,中国信达(香港)控股有限公司,24/1/2025,Existing
1027,HUAFA 2021 I CO LTD,珠海华发,珠海华发集团有限公司,10/8/2024,Existing
1026,GUANG TAO INVESTMENT LIMITED,华发股份,珠海华发实业股份有限公司,24/1/2025,Existing
1025,"HE NAN RAIWAY CONSTRUCTION AND INVESTMENT GROUP CO., LTD",河南铁投,河南省铁路建设投资集团有限公司,19/1/2025,Existing
1024,"QUZHOU COMMUNICATIONS INVESTMENT GROUP CO., LTD",衢州衢通发展,衢州市衢通发展集团有限公司,19/1/2025,Existing
1023,CHINA WATER AFFAIRS GROUP LIMITED,中国水务,中国水务集团有限公司,19/1/2025,Existing
1022,XIN YUE COMPANY LIMITED,广东交通,广东省交通集团有限公司,18/1/2025,Existing
1021,CCTHK2021 LTD,中国诚通,中国诚通控股集团有限公司,12/1/2025,Existing
1020,"JIANGSU RUIHAI INVESTMENT HOLDING GROUP CO., LTD",江苏瑞海,江苏瑞海投资控股集团有限公司,12/1/2025,Existing
1019,"JIANGSU DIESHIQIAO HOME TEXTILE INDUSTRY GROUP CO., LTD",江苏叠石桥家纺,江苏叠石桥家纺产业集团有限公司,11/1/2025,Existing
1018,"HUZHOU NEW CITY INVESTMENT DEVELOPMENT GROUP CO., LTD.",湖州新投,湖州新型城市投资发展集团有限公司,23/12/2024,Existing
1017,CEBI SPLENDID LIMITED,光银国际,光银国际投资有限公司,8/12/2024,Existing
1016,"HAFOO CO., LTD",东方财富,东方财富信息股份有限公司,24/11/2024,Existing
1015b,CHINA GREAT WALL INTERNATIONAL HOLDINGS VI LIMITED,长城国际,中国长城资产(国际)控股有限公司,21/4/2025,Existing
1015a,CHINA GREAT WALL INTERNATIONAL HOLDINGS V LIMITED,长城国际,中国长城资产(国际)控股有限公司,16/11/2024,Existing
1014,"ZHENGZHOU METRO GROUP CO., LTD.",郑州地铁,郑州地铁集团有限公司,9/11/2024,Existing
1013,CNCBINV1 (BVI) LIMITED,信银资本,信银(香港)投资有限公司,9/11/2024,Existing
1012,"CHINA BOHAI BANK CO., LTD., HONG KONG BRANCH",渤海银行,渤海银行股份有限公司,3/11/2024,Existing
1011b,JINAN CITY CONSTRUCTION GROUP LIMITED COMPANY,济南城建,济南城市建设集团有限公司,6/6/2025,Existing
1011a,"JINAN URBAN CONSTRUCTION INTERNATIONAL INVESTMENT CO., LIMITED",济南城建,济南城市建设集团有限公司,3/11/2024,Existing
1010b,SPIC PREFERRED COMPANY NO.2 LTD.,国家电投,国家电力投资集团有限公司,2/12/2024,Existing
1010a,SPIC PREFERRED COMPANY NO.1 LTD.,国家电投,国家电力投资集团有限公司,2/11/2024,Existing
1009,XI YANG OVERSEAS LIMITED,南京扬子国投,南京扬子国资投资集团有限责任公司,27/10/2024,Existing
1008,"CHINA CINDA ASSET MANAGEMENT CO., LTD.",中国信达资管,中国信达资产管理股份有限公司,27/10/2024,Existing
