Date,R_SOFR
5/27/2022,0.78
5/26/2022,0.78
5/25/2022,0.78
5/24/2022,0.78
5/23/2022,0.78
5/20/2022,0.78
5/19/2022,0.79
5/18/2022,0.79
5/17/2022,0.8
5/16/2022,0.8
5/13/2022,0.79
5/12/2022,0.79
5/11/2022,0.78
5/10/2022,0.78
5/9/2022,0.78
5/6/2022,0.78
5/5/2022,0.79
5/4/2022,0.3
5/3/2022,0.3
5/2/2022,0.3
4/29/2022,0.28
4/28/2022,0.28
4/27/2022,0.28
4/26/2022,0.27
4/25/2022,0.27
4/22/2022,0.27
4/21/2022,0.26
4/20/2022,0.27
4/19/2022,0.28
4/18/2022,0.29
4/14/2022,0.29
4/13/2022,0.29
4/12/2022,0.29
4/11/2022,0.3
4/8/2022,0.3
4/7/2022,0.3
4/6/2022,0.3
4/5/2022,0.3
4/4/2022,0.3
4/1/2022,0.3
3/31/2022,0.29
3/30/2022,0.27
3/29/2022,0.28
3/28/2022,0.28
3/25/2022,0.28
3/24/2022,0.27
3/23/2022,0.27
3/22/2022,0.28
3/21/2022,0.29
3/18/2022,0.3
3/17/2022,0.3
3/16/2022,0.05
3/15/2022,0.05
3/14/2022,0.05
3/11/2022,0.05
3/10/2022,0.05
3/9/2022,0.05
3/8/2022,0.05
3/7/2022,0.05
3/4/2022,0.05
3/3/2022,0.05
3/2/2022,0.05
3/1/2022,0.05
2/28/2022,0.05
2/25/2022,0.05
2/24/2022,0.05
2/23/2022,0.05
2/22/2022,0.05
2/18/2022,0.05
2/17/2022,0.05
2/16/2022,0.05
2/15/2022,0.05
2/14/2022,0.05
2/11/2022,0.05
2/10/2022,0.05
2/9/2022,0.04
2/8/2022,0.05
2/7/2022,0.05
2/4/2022,0.05
2/3/2022,0.05
2/2/2022,0.05
2/1/2022,0.05
1/31/2022,0.05
1/28/2022,0.05
1/27/2022,0.04
1/26/2022,0.04
1/25/2022,0.05
1/24/2022,0.04
1/21/2022,0.05
1/20/2022,0.04
1/19/2022,0.05
1/18/2022,0.05
1/14/2022,0.05
1/13/2022,0.05
1/12/2022,0.05
1/11/2022,0.05
1/10/2022,0.05
1/7/2022,0.05
1/6/2022,0.05
1/5/2022,0.05
1/4/2022,0.05
1/3/2022,0.05
12/31/2021,0.05
12/30/2021,0.05
12/29/2021,0.05
12/28/2021,0.05
12/27/2021,0.05
12/23/2021,0.05
12/22/2021,0.05
12/21/2021,0.05
12/20/2021,0.04
12/17/2021,0.05
12/16/2021,0.05
12/15/2021,0.05
12/14/2021,0.05
12/13/2021,0.05
12/10/2021,0.05
12/9/2021,0.05
12/8/2021,0.05
12/7/2021,0.05
12/6/2021,0.05
12/3/2021,0.05
12/2/2021,0.05
12/1/2021,0.05
11/30/2021,0.05
11/29/2021,0.05
11/26/2021,0.05
11/24/2021,0.05
11/23/2021,0.05
11/22/2021,0.05
11/19/2021,0.05
11/18/2021,0.05
11/17/2021,0.05
11/16/2021,0.05
11/15/2021,0.05
11/12/2021,0.05
11/10/2021,0.05
11/9/2021,0.05
11/8/2021,0.05
11/5/2021,0.05
11/4/2021,0.05
11/3/2021,0.05
11/2/2021,0.05
11/1/2021,0.05
10/29/2021,0.05
10/28/2021,0.05
10/27/2021,0.05
10/26/2021,0.05
10/25/2021,0.04
10/22/2021,0.05
10/21/2021,0.03
10/20/2021,0.03
10/19/2021,0.03
10/18/2021,0.05
10/15/2021,0.05
10/14/2021,0.05
10/13/2021,0.05
10/12/2021,0.05
10/8/2021,0.05
10/7/2021,0.05
10/6/2021,0.05
10/5/2021,0.05
10/4/2021,0.05
10/1/2021,0.05
9/30/2021,0.05
9/29/2021,0.05
9/28/2021,0.05
9/27/2021,0.05
9/24/2021,0.05
9/23/2021,0.05
9/22/2021,0.05
9/21/2021,0.05
9/20/2021,0.05
9/17/2021,0.05
9/16/2021,0.05
9/15/2021,0.05
9/14/2021,0.05
9/13/2021,0.05
9/10/2021,0.05
9/9/2021,0.05
9/8/2021,0.05
9/7/2021,0.05
9/3/2021,0.05
9/2/2021,0.05
9/1/2021,0.05
8/31/2021,0.05
8/30/2021,0.05
8/27/2021,0.05
8/26/2021,0.05
8/25/2021,0.05
8/24/2021,0.05
8/23/2021,0.05
8/20/2021,0.05
8/19/2021,0.05
8/18/2021,0.05
8/17/2021,0.05
8/16/2021,0.05
8/13/2021,0.05
8/12/2021,0.05
8/11/2021,0.05
8/10/2021,0.05
8/9/2021,0.05
8/6/2021,0.05
8/5/2021,0.05
8/4/2021,0.05
8/3/2021,0.05
8/2/2021,0.05
7/30/2021,0.05
7/29/2021,0.05
7/28/2021,0.05
7/27/2021,0.05
7/26/2021,0.05
7/23/2021,0.05
7/22/2021,0.05
7/21/2021,0.05
7/20/2021,0.05
7/19/2021,0.05
7/16/2021,0.05
7/15/2021,0.05
7/14/2021,0.05
7/13/2021,0.05
7/12/2021,0.05
7/9/2021,0.05
7/8/2021,0.05
7/7/2021,0.05
7/6/2021,0.05
7/2/2021,0.05
7/1/2021,0.05
6/30/2021,0.05
6/29/2021,0.05
6/28/2021,0.05
6/25/2021,0.05
6/24/2021,0.05
6/23/2021,0.05
6/22/2021,0.05
6/21/2021,0.05
6/18/2021,0.05
6/17/2021,0.05
6/16/2021,0.01
6/15/2021,0.01
6/14/2021,0.01
6/11/2021,0.01
6/10/2021,0.01
6/9/2021,0.01
6/8/2021,0.01
6/7/2021,0.01
6/4/2021,0.01
6/3/2021,0.01
6/2/2021,0.01
6/1/2021,0.01
5/28/2021,0.01
5/27/2021,0.01
5/26/2021,0.01
5/25/2021,0.01
5/24/2021,0.01
5/21/2021,0.01
5/20/2021,0.01
5/19/2021,0.01
5/18/2021,0.01
5/17/2021,0.01
5/14/2021,0.01
5/13/2021,0.01
5/12/2021,0.01
5/11/2021,0.01
5/10/2021,0.01
5/7/2021,0.01
5/6/2021,0.01
5/5/2021,0.01
5/4/2021,0.01
5/3/2021,0.01
4/30/2021,0.01
4/29/2021,0.01
4/28/2021,0.01
4/27/2021,0.01
4/26/2021,0.01
4/23/2021,0.01
4/22/2021,0.01
