英文简称,OTHER_ISIN,定价日,发行规则
SMIZCH 4.125 10/07/19,US81663NAA54,9/26/2014,144A
GEELY 5.25 10/06/19,US36847QAA13,9/24/2014,144A
HONHUA 7.45 09/25/19,US43858EAA01,9/18/2014,144A
YINGDZ 7.25 02/28/20,US98584QAB68,8/21/2014,144A
EXIMCH 3.625 07/31/24,US30216HAD17,7/24/2014,144A
EXIMCH 2.5 07/31/19,US30216HAC34,7/24/2014,144A
COGARD 7.875 05/27/19,US22234XAH26,5/15/2014,144A
MAOIH 7.75 05/19/17,US56510CAC29,5/12/2014,144A
CCAMCL 5.625 05/14/24,US169388AC92,5/7/2014,144A
CCAMCL 4 05/14/19,US169388AB10,5/7/2014,144A
CNPCCH 1.93622 05/14/17,US12623TAF57,5/7/2014,144A
CNPCCH 2.75 05/14/19,US12623TAG31,5/7/2014,144A
CHGRID 4.125 05/07/24,US857004AC96,4/28/2014,144A
CHGRID 4.85 05/07/44,US857004AD79,4/28/2014,144A
CHGRID 2.75 05/07/19,US857004AB14,4/28/2014,144A
SINOCH 3.25 04/29/19,US82937YAB74,4/22/2014,144A
TENCNT 2 05/02/17,US88032WAA45,4/22/2014,144A
TENCNT 3.375 05/02/19,US88032WAB28,4/22/2014,144A
MIEHOL 7.5 04/25/19,US55309DAB91,4/15/2014,144A
SINOPE 4.375 04/10/24,US82937WAE57,4/2/2014,144A
SINOPE 1.75 04/10/17,US82937WAA36,4/2/2014,144A
SINOPE 1.79011 04/10/17,US82937WAB19,4/2/2014,144A
SINOPE FLOAT 04/10/19,US82937WAD74,4/2/2014,144A
SINOPE 2.75 04/10/19,US82937WAC91,4/2/2014,144A
PACT 8 04/15/21,US05543EAA01,3/20/2014,144A
